handleId,fieldType,name,description,productImageUrl,price,surcharge,visible,inventory,weight,collection,sku,ribbon,discountMode,discountValue,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,additionalInfoTitle7,additionalInfoDescription7,additionalInfoTitle8,additionalInfoDescription8,customTextField1,customTextCharLimit1,customTextMandatory1,brand
146,Product,Bathroom Humor Block,<p>3.5 x 3.5 x 3.5 Wooden Block</p>,http://ez-peezie-crafts.mybigcommerce.com/product_images/u/895/IMG_6848__27516.jpg;http://ez-peezie-crafts.mybigcommerce.com/product_images/p/483/IMG_6849__78086.jpg;http://ez-peezie-crafts.mybigcommerce.com/product_images/a/713/IMG_6847__59028.jpg;http://ez-peezie-crafts.mybigcommerce.com/product_images/s/976/IMG_9211__15413.JPG;http://ez-peezie-crafts.mybigcommerce.com/product_images/i/936/IMG_9212__23718.JPG;http://ez-peezie-crafts.mybigcommerce.com/product_images/w/230/IMG_9213__92387.JPG;http://ez-peezie-crafts.mybigcommerce.com/product_images/l/155/IMG_9471__41444.jpg,22.0,0.0,TRUE,InStock,0.0000,"Block Signs ;3.5"" Wooden Block",,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wooden Block
150,Product,10 x 10 Wood with Burlap Sign,,http://ez-peezie-crafts.mybigcommerce.com/product_images/i/761/IMG_6163__92894.jpg,32.0,0.0,TRUE,InStock,0.0000,Easter,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Product,12 x 12 Wood with Burlap Sign,,http://ez-peezie-crafts.mybigcommerce.com/product_images/i/644/IMG_6166__88749.jpg,36.0,0.0,TRUE,InStock,0.0000,Easter,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Product,On Beach Time Metal Laser,"<p><font style=""background-color: #ffffff;"">10 x 12 Planked Sign</font></p>",http://ez-peezie-crafts.mybigcommerce.com/product_images/u/310/IMG_7686__75251.jpg,20.0,0.0,TRUE,InStock,0.0000,Metal Laser Signs,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal Word Signs
176,Product,"Prayers Go Up, Blessings Come Down Metal Laser","<p><font style=""background-color: #ffffff;"">6 x 17 Planked Sign</font></p>",http://ez-peezie-crafts.mybigcommerce.com/product_images/f/852/IMG_7688__52040.jpg,20.0,0.0,TRUE,InStock,0.0000,Metal Laser Signs,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal Word Signs
177,Product,"It Never Gets Easier, You Just Get Better Metal Laser","<p><font style=""background-color: #ffffff;"">12 x 12 Planked Sign</font></p>",http://ez-peezie-crafts.mybigcommerce.com/product_images/k/510/IMG_7658__11692.jpg,27.0,0.0,TRUE,InStock,0.0000,Metal Laser Signs,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal Word Signs
178,Product,It's a Good Day to Have a Good Day Metal Laser,"<p><font style=""background-color: #ffffff;"">18 x 18 Planked Sign or 18 x 20 Planked Sign</font></p>",http://ez-peezie-crafts.mybigcommerce.com/product_images/f/804/Metal_Good_Day_18x18__04362.jpg,30.0,0.0,TRUE,InStock,0.0000,Metal Laser Signs,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal Word Signs
179,Product,We're Just a Big Happy Family Metal Laser,"<p><font style=""background-color: #ffffff;"">&nbsp;20 x 20 Planked Sign</font></p>",http://ez-peezie-crafts.mybigcommerce.com/product_images/h/459/Metal_Happy_Family_20x20__11651.jpg,30.0,0.0,TRUE,InStock,0.0000,Metal Laser Signs,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal Word Signs
180,Product,Thankful & Blessed Metal Laser,<p>5 1/2 x 21 metal laser sign</p>,http://ez-peezie-crafts.mybigcommerce.com/product_images/t/895/IMG_7690__69196.jpg,20.0,0.0,TRUE,InStock,0.0000,Metal Laser Signs,,New,,,Lumber Type,DROP_DOWN,Pallet;New lumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal Word Signs
239,Variant,,,,0,0.0,TRUE,InStock,,,180-PA,,,,Lumber Type,DROP_DOWN,Pallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
